MOV iram addr,R2;0x8A;2
MOV iram addr,R3;0x8B;2
MOV iram addr,R4;0x8C;2
MOV iram addr,R5;0x8D;2
MOV iram addr,R6;0x8E;2
MOV iram addr,R7;0x8F;2
MOV iram addr,A;0xF5;2
MOV iram addr,iram addr;0x85;3
MOVC A,@A+DPTR;0x93;1
MOVC A,@A+PC;0x83;1
MOVX @DPTR,A;0xF0;1
MOVX @R0,A;0xF2;1
MOVX @R1,A;0xF3;1
MOVX A,@DPTR;0xE0;1
MOVX A,@R0;0xE2;1
MOVX A,@R1;0xE3;1
MUL AB;0xA4;1
NOP;0x00;1
ORL iram addr,A;0x42;2
ORL iram addr,#data;0x43;3
ORL A,#data;0x44;2
ORL A,iram addr;0x45;2
ORL A,@R0;0x46;1
ORL A,@R1;0x47;1
ORL A,R0;0x48;1
ORL A,R1;0x49;1
ORL A,R2;0x4A;1
ORL A,R3;0x4B;1
ORL A,R4;0x4C;1
ORL A,R5;0x4D;1
ORL A,R6;0x4E;1
ORL A,R7;0x4F;1
ORL C,bit addr;0x72;2
ORL C,/bit addr;0xA0;2
POP iram addr;0xD0;2
PUSH iram addr;0xC0;2
RET;0x22;1
RETI;0x32;1
RL A;0x23;1
RLC A;0x33;1
RR A;0x03;1
RRC A;0x13;1
SETB C;0xD3;1
SETB bit addr;0xD2;2
SJMP reladdr;0x80;2
SUBB A,#data;0x94;2
SUBB A,iram addr;0x95;2
SUBB A,@R0;0x96;1
SUBB A,@R1;0x97;1
SUBB A,R0;0x98;1
SUBB A,R1;0x99;1
SUBB A,R2;0x9A;1
SUBB A,R3;0x9B;1
SUBB A,R4;0x9C;1
SUBB A,R5;0x9D;1
SUBB A,R6;0x9E;1
SUBB A,R7;0x9F;1
SWAP A;0xC4;1
???;0xA5;1
XCH A,@R0;0xC6;1
XCH A,@R1;0xC7;1
XCH A,R0;0xC8;1
XCH A,R1;0xC9;1
XCH A,R2;0xCA;1
XCH A,R3;0xCB;1
XCH A,R4;0xCC;1
XCH A,R5;0xCD;1
XCH A,R6;0xCE;1
XCH A,R7;0xCF;1
XCH A,iram addr;0xC5;2
XCHD A,@R0;0xD6;1
XCHD A,@R1;0xD7;1
XRL iram addr,A;0x62;2
XRL iram addr,#data;0x63;3
XRL A,#data;0x64;2
XRL A,iram addr;0x65;2
XRL A,@R0;0x66;1
XRL A,@R1;0x67;1
XRL A,R0;0x68;1
XRL A,R1;0x69;1
XRL A,R2;0x6A;1
XRL A,R3;0x6B;1
XRL A,R4;0x6C;1
XRL A,R5;0x6D;1
XRL A,R6;0x6E;1
XRL A,R7;0x6F;1
